T1,V1,W1
1482489000,235.0011233,236.9928666
1482492600,236.7582528,239.5950995
1482496200,234.3600586,237.7747954
1482499800,236.8143807,240.2208157
1482503400,239.89777,243.6750654
1482507000,239.840302,242.9413553
1482510600,239.5722558,243.1953422
1482514200,241.1420378,245.5179385
1482517800,239.5311397,244.1110139
1482521400,241.4789692,245.3985732
1482525000,239.0838056,242.9523919
1482528600,240.0111562,243.590918
1482532200,240.392415,244.1238306
1482535800,238.1151741,241.1740487
1482539400,235.9822344,239.0667257
1482543000,235.4000571,237.8418307
1482546600,231.8532433,233.9582243
1482550200,229.4150058,230.7494529
1482553800,229.8102923,233.3718405
1482557400,230.6998206,234.0981609
1482561000,234.3261819,235.7451821
1482564600,236.5393397,238.1917276
1482568200,234.0056553,237.0321957
1482571800,233.8160889,235.6810764
1482575400,235.1423519,236.8819458
1482579000,236.524353,239.2358363
1482582600,232.8656277,236.4142614
1482586200,235.4063119,238.9251742
1482589800,236.9305181,240.5847061
1482593400,237.7737794,241.955686
1482597000,235.9890634,240.5629594
1482600600,237.8289583,241.615829
1482604200,240.3339947,244.09129
1482607800,240.7919258,245.0230006
1482611400,241.7368462,245.9368934
1482615000,240.888287,244.7627586
1482618600,239.5882322,243.3473073
1482622200,238.1026733,241.3340143
1482625800,237.0294256,240.2854555
1482629400,237.3433772,239.900766
1482633000,236.571146,238.7443575
1482636600,231.5132961,234.4210104
1482640200,229.6362231,232.3336563
1482643800,228.6936666,231.55191
1482647400,231.0325067,233.3593872
1482651000,233.3429583,235.2517379
1482654600,232.0586769,233.9264757
1482658200,232.1842425,234.4799835
1482661800,232.6994479,235.1605485
1482665400,233.2020677,236.4776825
1482669000,228.9173391,232.3472534
1482672600,230.2761018,233.5342449
1482676200,231.9072647,234.8359538
1482679800,232.0999475,236.0106255
1482683400,232.8099524,236.9089643
1482687000,234.5465583,238.0071539
1482690600,236.2866094,240.1680647
1482694200,238.9063469,242.6145915
1482697800,240.1513004,244.0697081
1482701400,241.4931278,244.9121814
1482705000,241.0933119,244.7941598
1482708600,240.0468073,242.9765328
1482712200,238.2183258,241.3144554
1482715800,235.5651136,237.2243275
1482719400,231.1847605,232.6428863
1482723000,228.1705256,230.4470551
1482726600,227.6991899,230.3442878
1482730200,230.3925124,232.6037397
1482733800,232.7481897,235.7108922
1482737400,237.3067537,240.1672067
1482741000,234.6653354,236.9746373
1482744600,234.0061216,236.2127288
1482748200,235.2973229,237.5022188
1482751800,237.9533305,239.9960125
1482755400,235.2413066,237.7307845
1482759000,238.3518012,241.3977835
1482762600,237.9447578,241.9807575
1482766200,239.9233732,244.0500399
1482769800,238.3408763,242.1885052
1482773400,240.2094974,244.2972187
1482777000,240.2514493,244.5936667
1482780600,240.9128382,244.8783601
1482784200,242.2194903,245.5299017
1482787800,239.2921981,242.8130037
1482791400,239.3026479,242.9904545
1482795000,238.197847,241.579936
1482798600,236.408201,240.2703982
1482802200,234.8650405,237.3331155
1482805800,230.1863206,231.6194615
