,T1,V1,W1,CNumber,Closeness_Value
3812,1484087400.0,241.5626879,245.2531116,1.0,3.708598342741975e-05
796,1484166600.0000002,241.22938700000003,245.14285559999996,1.0,0.0002248781258096397
4242,1484249400.0,245.112146,248.8640956,1.0,0.0005491799213485091
1722,1484069400.0,239.78813250000002,243.81837340000004,1.0,0.0002853036946813755
3068,1483983000.0,238.02459650000003,241.79097569999996,1.0,0.00033833927393523474
5247,1508722200.0,228.5898484,230.0028271,1.0,0.0004636566799992976
473,1483824600.0,241.09812059999996,244.8145527,1.0,0.0003515550426218731
4956,1483975800.0,239.39471740000002,243.5932094,1.0,0.0004244652120389528
2903,1484058600.0,238.4050268,242.2527029,1.0,0.00041822040443693237
524,1483831800.0,239.69565400000002,242.95739600000002,1.0,0.00039510682739840526
17,1484001000.0,240.5091921,244.1436789,1.0,0.0
2146,1483828200.0,240.9567513,244.6423963,1.0,0.0002881126719880714
784,1508214600.0,229.4777471,231.1983579,2.0,0.010977890097342777
4954,1482424200.0,239.2174229,243.1177684,2.0,0.016454305753339473
787,1527570000.0,233.1819829,234.9066931,2.0,0.016168475499216767
790,1504243800.0,227.41063009999996,230.15778260000002,2.0,0.012556576189233419
4246,1485199800.0,241.587538,244.7626998,2.0,0.006137396382862449
4245,1513297800.0,231.74242810000004,232.19502739999996,2.0,0.006534096416269313
2198,1484029800.0,238.32626910000002,240.3803422,2.0,0.007382893653373078
797,1483403400.0,235.70174689999996,238.13725529999996,2.0,0.006777889714714655
2438,1505712600.0,227.8003678,229.999207,2.0,0.004747853479046112
2448,1508128199.9999998,227.6405199,228.80438519999998,2.0,0.0069215215380085265
4230,1509291000.0,228.77562690000002,231.1150718,2.0,0.003639511388924431
4225,1482600600.0,237.8289583,241.615829,2.0,0.010560310774234968
4958,1510972200.0,228.1392206,229.18289079999997,2.0,0.013108698320377133
2193,1509255000.0,229.9166006,231.09125480000003,2.0,0.007498949477514217
807,1527523200.0,233.3869544,234.6034028,2.0,0.014008608457016207
808,1483230600.0,238.07909629999997,241.07089330000002,2.0,0.003362833863674941
4965,1527361200.0,234.5271173,236.6282918,2.0,0.010768457939378214
474,1483147800.0000002,236.3841783,238.5595497,2.0,0.009400685511162427
4264,1482827400.0,231.75476190000003,234.5264202,2.0,0.010425220601443533
4267,1509154200.0,230.5239618,230.8355683,2.0,0.01257415825821603
4841,1482676200.0,231.9072647,234.8359538,2.0,0.009882977354512738
812,1527724800.0,233.2769687,234.96790219999997,2.0,0.01577520191948248
741,1483191000.0,234.7081402,237.662679,2.0,0.004201559076317187
4358,1482690600.0,236.2866094,240.1680647,2.0,0.007156065079015077
2411,1513254600.0000002,230.30281770000002,232.51318049999998,2.0,0.0052523743992951505
4932,1512700200.0,230.61150630000003,231.7232627,2.0,0.0016883933573589949
4348,1482471000.0,231.96627950000004,234.61595220000004,2.0,0.016040660329524954
751,1510677000.0,230.3156305,232.45601780000004,2.0,0.014711346767538732
4340,1508999400.0,229.35231359999997,230.391283,2.0,0.00290992165887212
4328,1527462000.0,235.15042269999998,235.8111967,2.0,0.0029289627083689297
2426,1482496200.0,234.36005859999997,237.77479539999996,2.0,0.009744379817532846
4953,1483378200.0,237.6014981,242.15224850000004,2.0,0.0019473805862063845
4315,1484955000.0,239.10814520000002,242.1124792,2.0,0.008185590857339966
4944,1506310200.0,227.9245268,230.6927351,2.0,0.009381452573352664
488,1527163200.0,236.03393600000004,237.5680356,2.0,0.011774518124841118
4949,1484217000.0,235.08960020000004,238.1390764,2.0,0.007703217017162236
4300,1482492600.0000002,236.7582528,239.5950995,2.0,0.013929237231787288
4294,1485037800.0,240.7142078,243.7040812,2.0,0.006283916851494611
1639,1505640600.0,228.1466325,230.4406379,2.0,0.010892978521460678
4283,1512095400.0,230.6786285,232.55990800000004,2.0,0.00966987403175026
4275,1512117000.0,230.9518447,232.8794191,2.0,0.013962002185282731
1637,1484289000.0,235.1495911,238.32792939999996,2.0,0.007653552964619265
2428,1512127800.0,231.1815455,232.7486013,2.0,0.013245477969070257
776,1508650200.0,228.650454,231.53101139999998,2.0,0.010271425692280978
4210,1484548200.0,236.70814790000003,238.7507289,2.0,0.015828214112956766
4926,1485005400.0,236.8732394,239.60374299999998,2.0,0.0161716841825065
4117,1513643399.9999998,231.53933510000002,232.0105574,2.0,0.003630195554437585
4984,1511746200.0,230.94620079999999,232.89797320000002,2.0,0.01630751828846978
4989,1527591600.0,234.5612797,236.8883795,2.0,0.01270361129264195
869,1507005000.0,225.6323158,229.3660765,2.0,0.014411510389518689
4083,1508470200.0,229.23364880000003,231.0573157,2.0,0.007069401966661461
4071,1484587800.0,239.3016451,242.510616,2.0,0.0035778445471296924
4069,1482409800.0,232.3197058,235.6012591,2.0,0.011037163764119022
4068,1485109800.0,240.54196380000002,244.23860839999998,2.0,0.006094304724770942
2506,1485030600.0,242.4520181,245.7330657,2.0,0.0034279266746707355
862,1511922600.0,230.8683218,231.8927019,2.0,0.005731346681385177
4990,1483108200.0,231.798115,234.4583027,2.0,0.010852635128662115
1601,1482593400.0,237.77377940000002,241.955686,2.0,0.011075576793753084
2523,1483209000.0,240.7426445,244.350123,2.0,0.004147313686153177
4028,1484314200.0,237.644123,239.64513529999996,2.0,0.011030729679692727
897,1510115400.0,230.15235780000003,231.7952648,2.0,0.009727551791718718
461,1514280600.0,232.14687339999998,233.62125659999998,2.0,0.014962482768859203
901,1483029000.0,240.3349912,243.78869480000003,2.0,0.005973847706828371
4020,1512365399.9999998,230.6143549,232.6978292,2.0,0.009892608242944204
4019,1513301400.0,231.31831140000003,231.99875799999998,2.0,0.003555906585068976
906,1527289200.0000002,234.9442537,237.18169459999996,2.0,0.012715777310477893
462,1509251400.0,229.43075299999998,231.13088980000003,2.0,0.005123118365129154
4970,1485127800.0,237.83555180000002,240.60626460000003,2.0,0.01484994662551039
2482,1482953400.0,241.4785086,245.0019753,2.0,0.008135665233403278
2185,1508419800.0,228.18411139999998,231.0655788,2.0,0.006014229668934622
1626,1514129400.0,230.24859709999998,232.3632206,2.0,0.0029901935583318976
4201,1506591000.0,228.730991,230.5536252,2.0,0.009918235537123302
4199,1510029000.0,229.3188875,231.3362137,2.0,0.0036964504432784625
4198,1527696000.0,233.9198183,235.5236321,2.0,0.01034597684522082
824,1484213400.0,234.0656864,236.98866029999996,2.0,0.011262079463952749
4190,1482582600.0,232.86562770000003,236.4142614,2.0,0.006663473214663039
2463,1512606600.0,231.89882660000004,231.8952972,2.0,0.009856920358057741
1622,1511235000.0,228.86882759999997,230.0906621,2.0,0.002495491964511806
2467,1483216200.0,239.4996843,243.335795,2.0,0.0032311121401858906
4129,1483788600.0,236.55086899999998,239.5449741,2.0,0.002606279162438416
1743,1484940600.0,241.5205041,244.81757300000004,2.0,0.0036876025432325044
2186,1527141600.0,233.47473299999996,235.55177079999999,2.0,0.013127731482754375
832,1527278400.0,236.2397828,237.73733500000003,2.0,0.012701176345498227
4181,1506313800.0,228.05862190000002,230.6213808,2.0,0.008798505334562352
840,1484267400.0,241.0620745,243.75335390000004,2.0,0.001754939120227615
4170,1484595000.0,240.54542659999998,244.14502790000003,2.0,0.0018614762151075294
2472,1483176600.0,234.42466320000003,237.18617879999996,2.0,0.0058578637559471725
2475,1512030600.0,230.4714129,232.62609079999996,2.0,0.010323341100497272
4143,1502861400.0,226.35355170000003,227.6639443,2.0,0.0076992399160689205
4137,1482784199.9999998,242.21949029999996,245.5299017,2.0,0.01177868371857404
831,1509381000.0000002,230.43718000000004,231.12456319999998,2.0,0.011219167911678889
1648,1482773400.0,240.20949740000003,244.29721869999997,2.0,0.010464679849741514
4378,1527231600.0,234.74883509999998,236.8852643,2.0,0.01129152598331409
528,1508229000.0,228.8803656,231.1926406,2.0,0.00820267049158576
4692,1514136599.9999998,229.5549139,232.139642,2.0,0.00499105541732951
2299,1483252200.0,229.8321918,232.59503560000002,2.0,0.015989938190501544
603,1482744600.0,234.00612160000003,236.2127288,2.0,0.015263418544600598
4676,1508049000.0,229.9305621,230.43111099999996,2.0,0.011812753378774264
4669,1527177600.0,234.99338929999996,237.25097159999999,2.0,0.013155239371963496
4667,1506504600.0,228.6194952,230.8829385,2.0,0.013182088081198876
2300,1510284600.0,229.793994,230.8416859,2.0,0.0022451327983107126
4660,1511760600.0,228.8068382,231.13477670000003,2.0,0.0022259404668408724
4658,1482525000.0000002,239.0838056,242.95239190000004,2.0,0.013802842617467708
597,1512523800.0,228.4775845,229.99239319999998,2.0,0.009612683984017274
617,1507087800.0,228.87466260000002,229.6439834,2.0,0.006141688519350036
4645,1511357400.0,230.67342380000002,232.81566179999996,2.0,0.016633441547899298
4644,1483047000.0,239.630007,243.0689844,2.0,0.005165281170389256
2305,1510014600.0,230.82349089999997,230.794815,2.0,0.01122601255087897
4635,1485117000.0,241.72949050000003,245.5118557,2.0,0.00467552492441309
4853,1484951399.9999998,240.37301920000002,243.5638069,2.0,0.005430149448151197
630,1482643800.0,228.69366660000003,231.55191,2.0,0.016838351852690687
633,1514341800.0,231.3059223,233.15614469999997,2.0,0.007841400499717592
1690,1482993000.0,235.6887357,238.9900784,2.0,0.0037161749822424523
4619,1485898200.0,241.80937160000002,245.2353589,2.0,0.013865949985868367
620,1482539400.0,235.98223440000004,239.06672570000003,2.0,0.011330347259640551
594,1501907400.0,226.7914604,229.10760939999997,2.0,0.012591887005231261
1700,1513395000.0,231.4031149,233.29629280000003,2.0,0.013547354207482949
4705,1511587800.0,230.6348914,231.81188229999998,2.0,0.0054714281127578035
4840,1511483400.0,230.7327603,231.54633790000003,2.0,0.005144324702632958
533,1509672599.9999998,230.5212684,231.4603031,2.0,0.012022658437609648
4834,1527292800.0,234.4193659,236.8069398,2.0,0.012976277113403375
4850,1512124200.0,230.3208699,231.7344942,2.0,0.0023457661499376513
547,1482330600.0,237.30129150000002,240.9446961,2.0,0.016283689824932557
525,1505619000.0,225.9180041,228.0927632,2.0,0.010002197776816331
548,1514259000.0,228.82844020000002,230.13677430000004,2.0,0.015084480156956945
4798,1513387800.0,230.03720739999997,230.4264728,2.0,0.004161017600724882
559,1482499800.0,236.81438070000002,240.22081569999997,2.0,0.011881964398523424
564,1510655400.0,230.5685187,232.31964229999997,2.0,0.014174958449926323
567,1484994600.0,238.87413750000002,241.0810047,2.0,0.013671532740479369
4739,1509006600.0,229.36428860000004,231.8613172,2.0,0.013640110053047532
2284,1483284600.0,231.927546,235.4410758,2.0,0.002754008886527582
577,1508729400.0,229.0056924,230.00211659999997,2.0,0.0020399055421514312
4730,1482741000.0,234.6653354,236.9746373,2.0,0.013494015114507093
1705,1483025400.0,240.6639113,244.6249919,2.0,0.006697416314286111
581,1509420600.0,230.2651958,231.71896900000002,2.0,0.013698086001022907
583,1483122600.0,236.3682679,239.869596,2.0,0.0022976983845615084
1704,1482960600.0,239.5047277,242.6710387,2.0,0.006518026081787044
2292,1483144200.0,236.8993142,240.08501669999998,2.0,0.0031308309865030956
589,1483792200.0,235.73821279999999,238.4591983,2.0,0.005219226032015672
4863,1483018200.0000002,238.5968251,241.83714349999997,2.0,0.005020239483115302
2409,1503207000.0,226.32790069999996,228.96308630000001,2.0,0.001821832315358579
4613,1527832800.0,235.984709,236.12517040000003,2.0,0.001463243843729215
4597,1505709000.0,226.2126107,229.4108845,2.0,0.003135919955415417
4014,1507343400.0000002,227.3264434,228.1216277,2.0,0.015111833236867215
2358,1484321400.0,232.7917117,235.83716559999996,2.0,0.01638944993779795
1732,1511487000.0,229.8710019,232.0529939,2.0,0.005864259634582759
4885,1483043400.0,240.75831029999998,244.1860411,2.0,0.006150001403249243
4456,1514179800.0,231.001283,233.3894428,2.0,0.011075034078548276
4455,1482769800.0,238.34087630000002,242.1885052,2.0,0.008020761080918279
1666,1483083000.0000002,233.1810324,235.4847164,2.0,0.012719024113819383
4444,1483774200.0,238.3074328,240.44718139999998,2.0,0.0061039924581995164
4429,1513380600.0,230.8983569,232.549084,2.0,0.005140126290080335
2357,1512347400.0,231.3881588,231.758554,2.0,0.0066466799351572745
4911,1485264600.0,238.8716967,241.8933984,2.0,0.01279588321186013
4915,1483054200.0,238.4201461,241.5648166,2.0,0.004704028527287088
2385,1511404200.0,231.11097379999998,232.5623579,2.0,0.015159212496238878
2201,1505716200.0,228.5909891,230.6684789,2.0,0.015992663833357065
4413,1483860600.0,235.6960814,238.86219550000004,2.0,0.0029656700137450295
4398,1484310600.0,237.0506024,240.8445792,2.0,0.002818646527652821
4388,1508733000.0,228.4782068,230.64641279999998,2.0,0.0016042150726333709
4924,1512358200.0,230.394459,232.31231409999998,2.0,0.00579153187202467
732,1514266200.0,231.8671587,233.1465186,2.0,0.009173520987547298
4381,1482802200.0,234.86504050000002,237.33311550000002,2.0,0.011010985366561074
4417,1483000200.0,235.29803199999998,237.5331892,2.0,0.010923417065319324
2348,1482759000.0,238.3518012,241.3977835,2.0,0.009041438350816727
4496,1527364800.0,234.6177301,236.6499685,2.0,0.010297038573368895
1676,1483219800.0,240.16345819999998,243.9095842,2.0,0.003648525497969555
4594,1510911000.0,230.5644078,232.315427,2.0,0.012615419117640189
4593,1510111800.0,230.1924127,230.71020209999998,2.0,0.005102734144008495
2320,1514223000.0,231.2200546,233.3039981,2.0,0.00980127072724425
2321,1482615000.0,240.88828700000002,244.7627586,2.0,0.014102321800269617
4566,1483212600.0000002,241.7314096,245.49918480000002,2.0,0.005065619342344553
2331,1505651400.0,227.8248719,230.2757437,2.0,0.007546036594329286
4564,1482957000.0,241.0191427,244.5237279,2.0,0.007625741686856815
4556,1509989400.0,229.89976539999998,231.44867389999996,2.0,0.006300324786721549
4549,1509957000.0,230.5545217,231.71140369999998,2.0,0.012370368995912354
663,1484605800.0,239.07285369999997,242.61927120000001,2.0,0.0033397132224643198
4548,1482661800.0,232.6994479,235.1605485,2.0,0.014709378274003327
4547,1510680600.0,229.83015490000003,232.1530831,2.0,0.009868429569061267
4543,1527285600.0,233.415633,235.78965240000002,2.0,0.015167123855379036
4542,1482622200.0000002,238.1026733,241.33401429999998,2.0,0.010904399772689526
4532,1507167000.0,228.9209162,229.8197871,2.0,0.005905932522588723
4530,1483785000.0,235.58531080000003,238.2252271,2.0,0.006028423221065288
2347,1485901800.0,241.6624158,244.82999240000004,2.0,0.014756592402988619
4508,1484350200.0,238.370935,241.6401266,2.0,0.0027031774397924743
4507,1511865000.0,231.15432579999998,232.5528141,2.0,0.01255212717211092
4504,1512610200.0,228.42135070000003,229.6527851,2.0,0.014221091788113455
4877,1484112600.0,232.5151831,235.948752,2.0,0.010470551508260414
4607,1511742600.0000002,229.35613550000002,230.0777871,2.0,0.0034400249302640115
1595,1513614600.0,230.70149949999998,232.56986239999998,2.0,0.0045581707936612394
2538,1503808200.0,227.38159930000003,229.0185623,2.0,0.006125673856851786
4005,1514439000.0,232.09858980000004,233.42567720000002,2.0,0.0118397400568026
2758,1482949800.0,240.3141914,243.8029383,2.0,0.007065881827150262
1250,1483050600.0000002,239.75062699999998,243.011493,2.0,0.0053731337714250284
1252,1527836400.0,235.9460793,236.5685342,2.0,0.003468096831523522
2762,1505964600.0,228.35506670000004,229.1718089,2.0,0.006782618815844926
3264,1482669000.0,228.9173391,232.34725339999997,2.0,0.007383886566717485
2763,1511843400.0,230.44494269999998,232.72290069999997,2.0,0.012315686970200313
2766,1508484600.0,229.6767457,231.46683199999998,2.0,0.013249406034533312
3244,1482964200.0,239.93569599999998,243.2754663,2.0,0.006589630948109137
1264,1513654200.0,230.4702315,230.2275807,2.0,0.007513352357759262
2778,1497411000.0,224.9435542,226.7312206,2.0,0.01678197220491028
1476,1483363800.0,235.4583494,238.3053682,2.0,0.00395940047655842
1270,1482507000.0,239.840302,242.9413553,2.0,0.01533431524393501
3231,1485066600.0,240.213486,241.78854639999997,2.0,0.015924089547555413
2779,1510392600.0,230.69212169999997,232.25482739999998,2.0,0.015776126326583192
2783,1483266600.0,233.38316740000002,235.77012229999997,2.0,0.011011462628582436
1280,1482586200.0,235.4063119,238.92517420000001,2.0,0.008554439180398022
